IRGAROL,Fv/Fm,DIURON,Fv/Fm,AMETRYN,Fv/Fm,Tebuthiuron,Fv/Fm,Hexazinone,Fv/Fm,Ioxynil,Fv/Fm,Simazine,Fv/Fm,Atrazine,Fv/Fm
0.0,0.63,0.0,0.68,0.0,0.68,0,0.73,0,0.64,0,0.66,0,0.69,0,0.67
0.0,0.64,0.0,0.71,0.0,0.68,0,0.70,0,0.67,0,0.64,0,0.71,0,0.67
0.0,0.68,0.0,0.72,0.0,0.67,0,0.71,0,0.64,0,0.66,0,0.66,0,0.64
0.0,0.66,0.0,0.71,0.0,0.65,0,0.72,0,,0,0.67,0,0.65,0,0.63
0.0,0.70,0.0,0.70,0.0,0.67,0,0.71,0,0.64,0,0.69,0,0.67,0,0.63
0.0,0.68,0.0,0.67,0.0,0.67,0,0.70,0,0.66,0,0.67,0,0.64,0,0.62
0.0,0.68,0.0,0.70,0.0,0.67,0,0.70,0,0.69,0,0.61,0,0.70,0,0.61
0.0,0.68,0.0,0.71,0.0,0.68,0,0.70,0,0.70,0,0.69,0,0.65,0,0.63
0.0,0.69,0.0,0.71,0.0,0.70,0,0.72,0,0.65,0,0.66,0,0.67,0,0.66
0.0,0.66,0.0,0.71,0.0,0.70,0,0.69,0,0.64,0,0.69,0,0.61,0,0.57
0.0,0.68,0.0,0.68,0.0,0.69,0,0.70,0,0.64,0,0.68,0,0.69,0,0.58
0.0,0.68,0.0,0.68,0.0,0.68,0,0.69,0,0.63,0,0.70,0,0.69,0,0.62
0.3,0.40,0.3,0.68,0.3,0.64,0.3,0.71,0.3,0.72,100,0.63,3,0.69,1,0.66
0.3,0.56,0.3,0.63,0.3,0.64,0.3,0.66,0.3,0.71,100,0.69,3,0.71,1,0.58
0.3,0.58,0.3,0.63,0.3,0.62,0.3,0.71,0.3,0.66,100,0.71,3,0.69,1,0.56
0.3,0.57,0.3,0.63,0.3,0.62,0.3,0.71,0.3,0.65,100,0.71,3,0.70,1,0.61
0.3,0.47,0.3,0.65,0.3,0.63,0.3,0.72,0.3,0.71,100,0.69,3,0.59,1,0.59
0.3,0.42,0.3,0.59,0.3,0.61,0.3,0.71,0.3,0.67,100,0.65,3,0.64,1,0.58
0.3,0.49,0.3,0.66,0.3,0.62,0.3,0.71,0.3,0.65,100,0.65,3,0.70,1,0.58
0.3,0.46,0.3,0.64,0.3,0.57,0.3,0.71,0.3,0.68,100,0.67,3,0.68,1,0.61
0.3,0.44,0.3,0.67,0.3,0.61,0.3,0.72,0.3,0.68,100,0.67,3,0.61,1,0.67
0.3,0.51,0.3,0.62,0.3,0.61,0.3,0.72,0.3,0.71,100,0.69,3,0.69,1,0.65
0.3,0.47,0.3,0.62,0.3,0.60,0.3,0.64,0.3,0.69,100,0.65,3,0.68,1,0.62
0.3,0.58,0.3,0.65,0.3,0.62,0.3,0.68,0.3,0.63,100,0.64,3,0.71,1,0.66
1.0,0.11,1.0,0.50,1.0,0.48,1.0,0.72,1,0.64,100,0.66,10,0.64,3,0.58
1.0,0.15,1.0,0.47,1.0,0.46,1.0,0.69,1,0.55,100,0.65,10,0.58,3,0.52
1.0,0.25,1.0,0.52,1.0,0.50,1.0,0.71,1,0.64,100,0.66,10,0.62,3,0.55
1.0,0.20,1.0,0.52,1.0,0.48,1.0,0.69,1,0.58,100,0.66,10,0.62,3,0.50
1.0,0.20,1.0,0.49,1.0,0.41,1.0,0.72,1,0.63,1000,0.67,10,0.65,3,0.61
1.0,0.12,1.0,0.49,1.0,0.43,1.0,0.71,1,0.63,1000,0.67,10,0.65,3,0.56
1.0,0.16,1.0,0.48,1.0,0.43,1.0,0.71,1,0.60,1000,0.61,10,0.66,3,0.57
1.0,0.22,1.0,0.47,1.0,0.41,1.0,0.70,1,0.60,1000,0.66,10,0.64,3,0.56
1.0,0.15,1.0,0.50,1.0,0.42,1.0,0.72,1,0.69,1000,0.60,10,0.67,3,0.59
1.0,0.17,1.0,0.49,1.0,0.40,1.0,0.72,1,0.68,1000,0.61,10,0.66,3,0.57
1.0,0.19,1.0,0.48,1.0,0.39,1.0,0.67,1,0.65,1000,0.65,10,0.65,3,0.56
1.0,0.19,1.0,0.48,1.0,0.40,1.0,0.71,1,0.64,1000,0.65,10,0.64,3,0.58
3.0,0.03,3.0,0.30,3.0,0.19,3.0,0.71,3,0.54,1000,0.66,30,0.53,10,0.52
3.0,0.02,3.0,0.26,3.0,0.18,3.0,0.72,3,0.52,1000,0.64,30,0.54,10,0.47
3.0,0.05,3.0,0.27,3.0,0.16,3.0,0.70,3,0.57,1000,0.65,30,0.54,10,0.49
3.0,0.02,3.0,0.29,3.0,0.16,3.0,0.67,3,0.52,1000,0.64,30,0.56,10,0.48
3.0,0.02,3.0,0.30,3.0,0.16,3.0,0.71,3,0.51,1000,0.62,30,0.55,10,0.55
3.0,0.03,3.0,0.25,3.0,0.17,3.0,0.70,3,0.48,1000,0.59,30,0.55,10,0.52
3.0,0.03,3.0,0.26,3.0,0.16,3.0,0.68,3,0.54,1000,0.60,30,0.55,10,0.54
3.0,0.02,3.0,0.27,3.0,0.15,3.0,0.68,3,0.55,1000,0.63,30,0.56,10,0.54
3.0,0.01,3.0,0.27,3.0,0.18,3.0,0.68,3,0.57,,,30,0.56,10,0.53
3.0,0.02,3.0,0.25,3.0,0.18,3.0,0.68,3,0.51,,,30,0.59,10,0.45
3.0,0.02,3.0,0.26,3.0,0.15,3.0,0.69,3,0.58,,,30,0.59,10,0.53
3.0,0.03,3.0,0.26,3.0,0.16,3.0,0.68,3,0.52,,,30,0.57,10,0.50
10.0,0.02,10.0,0.09,10.0,0.08,10.0,0.69,10,0.20,,,100,0.40,30,0.29
10.0,0.01,10.0,0.09,10.0,0.07,10.0,0.70,10,0.19,,,100,0.40,30,0.35
10.0,0.01,10.0,0.09,10.0,0.06,10.0,0.67,10,0.21,,,100,0.42,30,0.36
10.0,0.01,10.0,0.10,10.0,0.05,10.0,0.67,10,0.23,,,100,0.41,30,0.35
10.0,0.01,10.0,0.10,10.0,0.09,10.0,0.67,10,0.31,,,100,0.38,30,0.42
10.0,0.01,10.0,0.10,10.0,0.07,10.0,0.68,10,0.27,,,100,0.36,30,0.33
10.0,0.01,10.0,0.09,10.0,0.07,10.0,0.68,10,0.25,,,100,0.38,30,0.35
10.0,0.02,10.0,0.07,10.0,0.06,10.0,0.68,10,0.23,,,100,0.36,30,0.39
10.0,0.00,10.0,0.10,10.0,0.09,10.0,0.69,10,0.29,,,100,0.39,30,0.36
10.0,0.02,10.0,0.08,10.0,0.07,10.0,0.67,10,0.30,,,100,0.34,30,0.36
10.0,0.00,10.0,0.10,10.0,0.05,10.0,0.69,10,0.28,,,100,0.35,30,0.32
10.0,0.01,10.0,0.10,10.0,0.05,10.0,0.64,10,0.31,,,100,0.36,30,0.37
30.0,0.01,30.0,0.04,30.0,0.03,30.0,0.61,30,0.07,,,300,0.18,100,0.19
30.0,0.01,30.0,0.03,30.0,0.02,30.0,0.59,30,0.10,,,300,0.22,100,0.14
30.0,0.00,30.0,0.03,30.0,0.03,30.0,0.62,30,0.10,,,300,0.17,100,0.19
30.0,0.00,30.0,0.02,30.0,0.03,30.0,0.57,30,0.06,,,300,0.20,100,0.15
30.0,0.00,30.0,0.07,30.0,0.03,30.0,0.60,30,0.09,,,300,0.17,100,0.13
30.0,0.00,30.0,0.07,30.0,0.02,30.0,0.60,30,0.08,,,300,0.18,100,0.16
30.0,0.00,30.0,0.03,30.0,0.02,30.0,0.58,30,0.09,,,300,0.16,100,0.14
30.0,0.01,30.0,0.04,30.0,0.01,30.0,0.59,30,0.08,,,300,0.18,100,0.18
30.0,0.00,30.0,0.06,30.0,0.04,30.0,0.63,30,0.10,,,300,0.20,100,0.22
30.0,0.01,30.0,0.05,30.0,0.01,30.0,0.59,30,0.09,,,300,0.18,100,0.18
30.0,0.00,30.0,0.03,30.0,0.00,30.0,0.60,30,0.09,,,300,0.24,100,0.14
30.0,0.00,30.0,0.04,30.0,0.00,30.0,0.63,30,0.11,,,300,0.25,100,0.20
,,,,100.0,0.01,100,0.36,100,0.04,,,,,1000,0.07
,,,,100.0,0.01,100,0.32,100,0.02,,,,,1000,0.08
,,,,100.0,0.00,100,0.33,100,0.01,,,,,1000,0.10
,,,,100.0,0.00,100,0.30,100,0.02,,,,,1000,0.06
,,,,100.0,0.04,100,0.33,100,0.00,,,,,1000,0.06
,,,,100.0,0.04,100,0.33,,,,,,,1000,0.04
,,,,100.0,0.03,100,0.27,,,,,,,1000,0.05
,,,,100.0,0.00,100,0.33,,,,,,,1000,0.04
,,,,100.0,0.03,100,0.27,,,,,,,1000,0.13
,,,,100.0,0.01,100,0.33,,,,,,,1000,0.06
,,,,100.0,0.01,100,0.34,,,,,,,1000,0.04
,,,,100.0,0.01,100,0.27,,,,,,,1000,0.05
,,,,300.0,0.02,300,0.18,,,,,,,,
,,,,300.0,0.00,300,0.19,,,,,,,,
,,,,300.0,0.00,300,0.19,,,,,,,,
,,,,300.0,0.00,300,0.16,,,,,,,,
,,,,300.0,0.00,300,0.16,,,,,,,,
,,,,300.0,0.00,300,0.16,,,,,,,,
,,,,300.0,0.00,300,0.15,,,,,,,,
,,,,300.0,0.00,300,0.14,,,,,,,,
,,,,300.0,0.03,300,0.17,,,,,,,,
,,,,300.0,0.05,300,0.11,,,,,,,,
,,,,300.0,0.03,300,0.12,,,,,,,,
,,,,300.0,0.02,300,0.16,,,,,,,,
,,,,,,1000,0.05,,,,,,,,
,,,,,,1000,0.07,,,,,,,,
,,,,,,1000,0.07,,,,,,,,
,,,,,,1000,0.04,,,,,,,,
,,,,,,1000,0.06,,,,,,,,
,,,,,,1000,0.04,,,,,,,,
,,,,,,1000,0.04,,,,,,,,
,,,,,,1000,0.05,,,,,,,,
,,,,,,1000,0.06,,,,,,,,
,,,,,,1000,0.06,,,,,,,,
,,,,,,1000,0.05,,,,,,,,
,,,,,,1000,0.05,,,,,,,,
